id          first_name  last_name   gender      party       party_duration  age         married     children_count  homeowner   employed    created_at                 updated_at
----------  ----------  ----------  ----------  ----------  --------------  ----------  ----------  --------------  ----------  ----------  -------------------------  -------------------------
735         Trevor      Braun       female      republican  14              69          0           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2437        Fritz       Wiegand     male        green       19              56          0           1               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
18          Elenor      Davis       male        republican  9               35          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4011        Jeanne      Price       female      republican  16              80          1           3               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3326        Juvenal     Hane        male        democrat    17              30          0           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
604         Thad        Ratke       male        democrat    19              36          1           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1407        Deangelo    Klein       male        republican  24              80          1           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4607        Keaton      Ortiz       female      democrat    42              56          1           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
450         Milford     Schimmel    male        republican  2               29          0           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
329         Mara        Green       female      republican  25              85          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2167        Krystina    Ebert       female      democrat    39              55          1           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2282        Moriah      Terry       male        republican  11              68          0           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
406         Conner      Zulauf      male        democrat    9               33          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1607        Grant       Dicki       female      democrat    10              20          0           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4808        Garret      Rath        male        democrat    6               77          0           5               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
694         Carlie      Champlin    female      republican  17              39          0           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1058        Neoma       Strosin     female      democrat    3               20          1           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3959        Cedrick     Wintheiser  female      republican  10              33          0           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2342        Grady       Grady       female      democrat    16              34          0           0               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1291        Trey        Wyman       female      green       1               79          1           4               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4843        Michel      Sanford     male        democrat    21              74          1           1               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
894         Domingo     Treutel     male        republican  19              43          1           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1237        Vickie      Trantow     female      democrat    20              47          1           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4272        Eugenia     Hagenes     male        republican  44              70          1           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1944        Shaina      Skiles      female      republican  6               36          1           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1487        Wendell     Dibbert     male        independen  39              53          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
897         Brant       Simonis     female      democrat    20              35          0           7               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
207         Zachariah   Dach        male        democrat    7               18          1           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3813        Anderson    Jerde       male        democrat    18              38          1           5               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2180        Alfonso     Hartmann    male        democrat    6               25          1           0               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4183        Brant       Cronin      male        democrat    12              31          1           0               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2893        Tara        Kuhn        male        republican  38              84          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3170        Verlie      Wolff       male        republican  46              79          0           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4235        Eva         Graham      female      republican  13              54          1           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4896        Diamond     Kutch       male        republican  16              90          0           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1064        Jake        McCullough  female      independen  6               68          0           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3771        Ian         Greenfelde  female      democrat    16              79          0           5               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1584        Rebecca     Bernhard    male        democrat    22              33          0           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3715        Nella       Kuhic       male        republican  12              70          1           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2257        Dana        MacGyver    male        republican  52              70          1           7               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3721        Keagan      Streich     female      green       20              49          1           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4289        Mazie       Strosin     male        republican  2               18          0           5               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1753        Vinnie      Orn         male        republican  33              70          0           2               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
355         Sean        Pfannersti  male        republican  15              36          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2297        Keegan      Mraz        female      democrat    44              89          1           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
667         Esther      Boyle       male        democrat    47              78          1           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2407        Tyrese      Walsh       female      republican  3               21          0           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4830        Keyon       Schaden     female      democrat    16              35          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
2564        Rashawn     Mills       female      democrat    32              78          0           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1138        Jeremie     Walter      female      democrat    4               30          1           6               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4097        Dayna       Raynor      male        democrat    61              73          1           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1974        Athena      Bednar      female      republican  12              54          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1638        Yesenia     Schaden     female      democrat    36              55          0           8               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3671        Randal      Crist       male        republican  15              25          0           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
4193        Hadley      Durgan      female      green       37              79          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
1164        Tommie      Armstrong   female      democrat    5               32          1           6               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
3296        Norris      Reynolds    male        democrat    16              44          0           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
