id          first_name  last_name   gender      party       party_duration  age         married     children_count  homeowner   employed    created_at                 updated_at                 COUNT(1)  
----------  ----------  ----------  ----------  ----------  --------------  ----------  ----------  --------------  ----------  ----------  -------------------------  -------------------------  ----------
1           Aiden       Kuhlman     male        democrat    29              71          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
5           Marshall    Osinski     female      republican  50              76          0           1               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
11          Carmine     Ankunding   female      democrat    41              54          0           3               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
14          Caden       Greenfelde  male        republican  24              51          0           1               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
17          Luz         Collins     female      republican  51              78          0           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
18          Elenor      Davis       male        republican  9               35          0           3               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
20          Norval      Hilpert     female      republican  9               34          1           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
22          Alexzander  Hickle      female      republican  33              54          1           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
26          Geo         Christians  male        democrat    20              44          0           8               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
28          Verla       Ondricka    male        republican  42              52          0           1               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
30          Darryl      Mosciski    female      green       21              33          0           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
37          Anya        Wilderman   female      republican  3               25          1           2               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
39          Braxton     Cronin      male        democrat    25              65          0           3               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
43          Kaitlin     Klein       female      democrat    10              20          0           2               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
44          Lacy        Dickinson   female      democrat    10              53          0           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
48          Demetris    Schmitt     male        republican  22              79          0           8               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
50          Corene      Marvin      male        democrat    23              36          0           5               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
51          Clyde       Fritsch     female      republican  18              37          1           4               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
52          Christ      Cole        female      republican  7               26          1           6               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
55          Roman       Murphy      male        democrat    56              87          0           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
62          Ephraim     Osinski     male        republican  55              86          1           4               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
67          Lolita      Marquardt   male        republican  27              69          0           6               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
68          Shannon     Toy         male        republican  58              68          0           4               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
69          Freddie     Bayer       female      democrat    29              46          0           8               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
70          Judge       Kozey       female      green       5               78          1           0               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
80          Alysson     Barrows     male        republican  41              51          0           6               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
83          Weston      Roob        female      democrat    37              54          0           5               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
85          Casandra    Boyle       male        independen  35              59          1           0               1           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
89          Skye        Feeney      female      democrat    6               46          1           2               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  5         
90          Jordon      Gulgowski   female      na          35              83          0           7               1           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
91          Davin       Larkin      male        republican  35              66          1           7               0           1           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  4         
92          Ezequiel    Mann        male        republican  26              41          0           0               0           0           2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700  3         
